source,rating,title,text,date,version
play_store,5,,veru useful this app,2026-04-24,18.7.1
play_store,1,,Aap scervis working Castumer saport not good very puar scervis Payment issue not resolved May complain But no any action not good service not good work pese kha gye h bina puche bank me transfer kr kre h or bolte guidline h ase kisi k pese bina kisi permission k ap kese bank me transfer kr re ho gatiya service h grow application ki,2026-04-24,18.7.1
play_store,2,,this broker is hiding some data .It is not transparent .The transaction is not showing all something hiding the credit. And after release the trade the profit also did not show that much profit and which time will adding didn't show. Now I experience myself this broker is hiding transaction data so that we didn't know whether the profit credit or not credit after release the trade.,2026-04-24,18.7.1
play_store,5,,good,2026-04-24,18.7.1
play_store,1,,not nice,2026-04-24,18.6.1
play_store,5,,"please don't use this , policy is for profit, customer is money, uninstall this app now",2026-04-24,unknown
play_store,1,,सबसे घटिया ट्रेडिंग एप मेरे को यह लगा क्योंकि इसमें टिफिन एक्टिवेट करने के लिए कुछ चार्ज लेता है मैं 5000 इन्वेस्ट करे थे और उसके टिफिन के एक्टिवेट करने के लिए 3506 रुपए काट दिएइसने,2026-04-24,unknown
play_store,1,,"I receive notifications from Groww, but there is no option in the app to view all notifications in one place. Once the notification panel is cleared, all notifications are gone and cannot be accessed again. I request that you provide a feature in the app to view daily notifications or notification history",2026-04-24,18.7.1
play_store,5,,febulous,2026-04-24,18.7.1
play_store,1,,"The whole app has been ruined, after the April day by day changes, Today's High Low & 52 weeks High Low showing same, Sensex/Nifty Index Expiry are not shown, under any similar stock category, something else stocks are shown & why the market depth has been moved upward, why ?",2026-04-24,18.7.1
play_store,1,,it's showing wrong 52 weeks high and low. it is same as day high and day low. it's the major issue in the app.,2026-04-24,18.7.1
play_store,2,,This app charges more brokerage,2026-04-24,18.7.1
play_store,5,,easy to use,2026-04-24,18.7.1
play_store,5,,good,2026-04-24,unknown
play_store,2,,The tradingview chart from groww app is not working. And also it is not properly showing the 52 weeks high and low.. Too much bugs and glitches. Probably have to shift to another broker,2026-04-24,18.7.1
play_store,5,,add more important indicators CPR indicatore and achored vwap with bands and ORB,2026-04-24,18.7.1
play_store,5,,nic,2026-04-24,18.7.1
play_store,5,,grow account open kyu nhi ho rha hai,2026-04-24,18.7.1
play_store,5,,this is nice and beautiful app 😍😍💘😍💘😍😍💘😍😍😍😍,2026-04-24,18.7.1
play_store,5,,Best app,2026-04-24,unknown
play_store,4,,good,2026-04-24,18.7.1
play_store,1,,"In the holdings section, total shares, invested amount, total P&L in percentage, and day’s P&L in percentage should be shown, just like in Zerodha Kite. This essential information should be visible on a single screen, not after tapping or using filters. This is necessary to take appropriate action to exit from positions. Without this data, trading in Groww is not convenient.",2026-04-24,18.7.1
play_store,2,,not sopt,2026-04-24,18.0.0
play_store,5,,good,2026-04-24,unknown
play_store,5,,good,2026-04-23,18.6.1
play_store,2,,chat pe sclaper mode le aoo aur sl aur tp ke liye drag and drop jese improvement karo chat pe ek hi screen pe multichat jesa karo jese sahi app pe hai okk,2026-04-23,18.7.1
play_store,1,,MANUPULATION AND Froud,2026-04-23,18.7.1
play_store,1,,order box start with 0 .0 .insted this the presnt price to be ther .,2026-04-23,18.7.1
play_store,5,,best app for investment,2026-04-23,unknown
play_store,5,,nice app,2026-04-23,18.7.1
play_store,5,,good groww,2026-04-23,18.7.1
play_store,1,,worst app,2026-04-23,unknown
play_store,1,,dual screen mobile app not available 😭,2026-04-23,18.7.1
play_store,5,,excellent,2026-04-23,18.7.0
play_store,4,,nice,2026-04-23,18.7.1
play_store,5,,please brokrage 10 rs kar do taki me groww app me trading kar saku,2026-04-23,18.7.1
play_store,5,,Great,2026-04-23,18.7.1
play_store,5,,good luck,2026-04-23,18.7.1
play_store,5,,good,2026-04-23,18.7.1
play_store,5,,V good 👍,2026-04-23,18.7.1
play_store,5,,nice app 👌,2026-04-23,18.7.1
play_store,4,,bast experience and smooth run,2026-04-23,18.7.1
play_store,5,,"hi,first of all I want to say thank u because this apps changed me a lot",2026-04-23,18.7.1
play_store,1,,"If we pledge our shares once and later unpledge them, we are being charged twice — once for pledging and once for unpledging. That itself is understandable, but the problem is that I have been charged multiple times even though I performed this action only once. After pledging and unpledging my shares one time, I did not perform any further pledge or unpledge transactions. However, [REDACTED].",2026-04-23,18.7.1
play_store,1,,it's very bad application 😕 extra charge much higher I hate this application,2026-04-23,18.7.1
